Год,Навыки,Кол-во
2015,Autodesk Maya,52
2015,ZBrush,49
2015,Cinema 4D,49
2015,3D-графика,49
2015,Blender 3D,49
2015,Autodesk 3ds Max,49
2015,Unreal Engine 4,49
2015,JavaScript,8
2015,HTML,7
2015,CSS,7
2015,Тестирование,5
2015,iOS,5
2015,Разработка компьютерных Игр,4
2015,Unity,4
2015,ООП,4
2015,C++,3
2015,Android,3
2015,C#,3
2015,Стрессоустойчивость,3
2015,Работа в команде,3
2016,Тестирование,23
2016,QA,21
2016,C#,19
2016,iOS,14
2016,ООП,14
2016,MS Visual Studio,14
2016,Android,13
2016,Разработка компьютерных Игр,12
2016,C++,12
2016,Adobe Photoshop,11
2016,XAML,11
2016,Unity,10
2016,Ответственность,9
2016,Исполнительность,9
2016,Коммуникабельность,9
2016,JavaScript,9
2016,Adobe Flash,8
2016,Git,8
2016,продвижение игр,8
2016,Мобильный маркетинг,8
2017,Unity,31
2017,C#,30
2017,Git,26
2017,QA,20
2017,Android,19
2017,ООП,18
2017,C++,18
2017,iOS,17
2017,Разработка компьютерных Игр,16
2017,Тестирование,14
2017,Adobe Photoshop,14
2017,Redmine,12
2017,Английский язык,12
2017,OpenGL,10
2017,Test case,10
2017,Adobe Illustrator,9
2017,Atlassian Jira,9
2017,Письменный перевод,8
2017,STL,8
2017,SVN,8
2018,C#,60
2018,Unity,52
2018,Разработка компьютерных Игр,46
2018,Git,40
2018,Тестирование,27
2018,C++,27
2018,QA,25
2018,Adobe Photoshop,24
2018,ООП,21
2018,Английский язык,19
2018,JavaScript,18
2018,Game Programming,18
2018,Java,17
2018,GameDev,15
2018,.NET Framework,12
2018,SQL,12
2018,Управление проектами,11
2018,HTML5,11
2018,Adobe Illustrator,11
2018,Python,10
2019,Unity,81
2019,Git,71
2019,Разработка компьютерных Игр,71
2019,C#,67
2019,Английский язык,51
2019,JavaScript,50
2019,Adobe Photoshop,47
2019,C++,45
2019,Тестирование,41
2019,Функциональное тестирование,39
2019,QA,38
2019,ООП,37
2019,HTML5,37
2019,Работа в команде,34
2019,Android,28
2019,Java,26
2019,Тестирование пользовательского интерфейса,25
2019,Game Programming,23
2019,Управление проектами,21
2019,Atlassian Jira,21
2020,Unity,285
2020,Android,175
2020,iOS,160
2020,ООП,153
2020,Английский язык,140
2020,Adobe Photoshop,128
2020,C#,117
2020,Java,115
2020,Git,107
2020,C/C++,92
2020,JavaScript,92
2020,Objective-C,91
2020,Kotlin,87
2020,SDK,85
2020,Тестирование,85
2020,Swift,85
2020,Работа в команде,83
2020,Функциональное тестирование,73
2020,Креативность,70
2020,Разработка компьютерных Игр,64
2021,Unity,381
2021,C#,216
2021,Adobe Photoshop,215
2021,Тестирование,202
2021,Git,183
2021,Английский язык,173
2021,Работа в команде,170
2021,Креативность,115
2021,Android,113
2021,Функциональное тестирование,113
2021,Gamedev,112
2021,Разработка компьютерных Игр,112
2021,Преподаватель,104
2021,Обучение,103
2021,ООП,101
2021,iOS,95
2021,JavaScript,92
2021,Тестирование пользовательского интерфейса,92
2021,C++,91
2021,Пользователь ПК,83
2022,Unity,318
2022,Adobe Photoshop,240
2022,C#,192
2022,Gamedev,183
2022,Английский язык,183
2022,Git,155
2022,Преподаватель,147
2022,Разработка компьютерных Игр,141
2022,Работа в команде,136
2022,Тестирование,131
2022,Креативность,127
2022,ООП,111
2022,Android,93
2022,Обучение,92
2022,Game Programming,91
2022,Управление проектами,85
2022,Adobe Illustrator,73
2022,iOS,71
2022,SQL,67
2022,JavaScript,66
2023,Разработка компьютерных Игр,392
2023,Преподаватель,317
2023,Преподавание,313
2023,Обучение,311
2023,Программирование для детей,311
2023,Roblox,311
2023,Minecraft,309
2023,Unity,157
2023,Gamedev,90
2023,Git,88
2023,Adobe Photoshop,87
2023,Android,81
2023,Тестирование,75
2023,iOS,72
2023,Английский язык,69
2023,Работа в команде,66
2023,Game Programming,64
2023,C#,60
2023,Креативность,55
2023,JavaScript,52
